id,session_id,log_type,start_time,end_time,duration_minutes,break_token_used,created_at
0fb93b41-2808-4bff-98a5-7d138c813732,2876230b-c7d3-4806-9d66-e1e981584281,work,2026-03-19 16:58:07.911201,2026-03-19 17:10:13.093274,12,false,2026-03-19 17:10:14.623569
17faee03-db3b-467e-a31c-d51d2aa6ce0d,8aa5ada4-31e8-5918-b8a7-57fc8a7b1b9e,work,2026-02-17 23:35:13.182368,2026-02-18 01:05:13.182368,90,false,2026-03-18 07:35:13.182368
1d5ea148-39cf-427a-aa78-18554776237f,7d64d39e-cbed-5519-8d3b-98e2bc984f66,work,2026-03-09 22:35:13.182368,2026-03-10 07:35:13.182368,540,false,2026-03-18 07:35:13.182368
29b765e8-1ed1-42c5-be04-43a95eca5f32,409dca42-87b1-4b74-ab01-cfdb09196b21,work,2026-04-17 10:34:36.643429,2026-04-17 10:36:22.689492,1,false,2026-04-17 10:35:42.112922
374334cc-bb9e-4e41-9c6d-1c07d62214ab,6df05c83-b8f6-43a3-8660-7856124405f0,work,2026-04-14 17:37:23.718125,2026-04-14 17:55:05.20293,17,false,2026-04-14 17:54:29.392359
3a18fd6b-33f4-4f76-814d-85d1d1122b68,34de8f60-14a6-5d4f-a6db-4cf2fe48c6b4,lunch,2026-02-18 01:05:13.182368,2026-02-18 01:35:13.182368,30,false,2026-03-18 07:35:13.182368
4437289d-61f4-41a0-8287-85c12067d855,6e67c504-60af-452d-accd-8f1809395426,break,2026-03-19 15:07:04.391227,2026-03-19 15:09:03.985678,1,true,2026-03-19 15:08:40.043251
56bc1421-533c-4fac-a222-d10282247198,6e67c504-60af-452d-accd-8f1809395426,work,2026-03-19 15:09:03.990191,2026-03-19 15:43:54.424251,34,false,2026-03-19 15:43:30.896986
57e931af-c8b4-40a2-81c2-ea997464eb30,8aa5ada4-31e8-5918-b8a7-57fc8a7b1b9e,lunch,2026-02-18 01:05:13.182368,2026-02-18 01:35:13.182368,30,false,2026-03-18 07:35:13.182368
5948a1e9-441f-4ef0-9986-594ac0ff372d,92476d69-929f-53fb-940e-9fc988196fa4,work,2026-03-16 22:35:13.182368,2026-03-17 07:35:13.182368,540,false,2026-03-18 07:35:13.182368
